City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,yellowknife,62.456,-114.3525,-26.71,69,75,0.0,CA,1675546549
134,raudeberg,61.9875,5.1352,4.42,55,100,9.26,NO,1675546846
135,katangli,51.7102,143.2326,-25.89,98,22,4.0,RU,1675546847
136,wakkanai,45.4094,141.6739,-5.14,73,100,6.07,JP,1675546847
137,caravelas,-17.7125,-39.2481,26.26,82,12,4.81,BR,1675546848
138,hasaki,35.7333,140.8333,2.9,57,4,7.69,JP,1675546665
139,seoul,37.5683,126.9778,-4.31,93,20,1.54,KR,1675546281
140,vanavara,60.34,102.2797,-21.02,100,97,0.95,RU,1675546849
141,pokhara,28.2333,83.9833,12.34,46,5,2.15,NP,1675546849
142,bunia,1.5667,30.25,19.62,34,85,1.71,CD,1675546849
143,bathsheba,13.2167,-59.5167,27.34,74,75,9.26,BB,1675546850
144,acari,-15.4311,-74.6158,25.5,80,100,3.37,PE,1675546850
145,longyearbyen,78.2186,15.6401,-8.09,62,0,10.29,SJ,1675546557
146,sioux lookout,50.1001,-91.917,-13.96,72,100,2.06,CA,1675546851
147,hebi,35.8992,114.1925,0.92,71,3,2.78,CN,1675546852
148,verkhnevilyuysk,63.4453,120.3167,-35.66,100,100,1.78,RU,1675546852
149,arraial do cabo,-22.9661,-42.0278,28.98,74,0,6.17,BR,1675546452
150,saint-pierre,-21.3393,55.4781,25.82,83,0,2.06,RE,1675546731
151,mount isa,-20.7333,139.5,22.87,38,98,4.63,AU,1675546607
152,algiers,36.7525,3.042,6.9,93,20,1.54,DZ,1675546726
153,broken hill,-31.95,141.4333,17.38,52,0,5.4,AU,1675546726
154,otjiwarongo,-20.4637,16.6477,18.17,81,100,2.64,NA,1675546854
155,port-gentil,-0.7193,8.7815,26.98,89,20,3.09,GA,1675546854
156,tasiilaq,65.6145,-37.6368,-3.91,82,100,8.6,GL,1675546707
157,vila franca do campo,37.7167,-25.4333,14.23,84,3,3.2,PT,1675546678
158,dunedin,-45.8742,170.5036,20.45,83,100,4.47,NZ,1675546302
159,pujili,-0.95,-78.6833,17.38,48,40,7.72,EC,1675546856
160,omboue,-1.5746,9.2618,26.19,84,100,1.4,GA,1675546856
161,northam,51.0333,-4.2167,10.22,91,100,2.21,GB,1675546857
162,manjacaze,-24.7117,33.8828,22.74,91,25,2.9,MZ,1675546857
163,new norfolk,-42.7826,147.0587,15.95,63,13,0.45,AU,1675546660
164,dingle,10.9995,122.6711,23.25,95,94,3.7,PH,1675546802
165,vila velha,-20.3297,-40.2925,27.97,83,0,7.2,BR,1675546439
166,avarua,-21.2078,-159.775,29.03,79,20,5.66,CK,1675546480
167,madimba,-10.4,40.3333,24.62,88,75,5.14,TZ,1675546858
168,clyde river,70.4692,-68.5914,-27.87,57,75,6.69,CA,1675546676
169,mantua,45.1667,10.7833,8.58,82,26,2.24,IT,1675546859
170,souillac,-20.5167,57.5167,26.21,89,40,2.06,MU,1675546860
171,olafsvik,64.8945,-23.7142,2.89,80,100,11.19,IS,1675546860
172,araras,-22.3569,-47.3842,28.82,93,96,2.34,BR,1675546861
173,tuatapere,-46.1333,167.6833,19.48,93,100,1.71,NZ,1675546862
174,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675546654
175,kodiak,57.79,-152.4072,-1.27,80,0,0.0,US,1675546412
176,yulara,-25.2406,130.9889,19.85,31,0,5.15,AU,1675546664
177,zastron,-30.3023,27.084,19.69,41,61,1.37,ZA,1675546865
178,zhiletovo,54.6922,36.0223,-2.01,98,100,1.84,RU,1675546869
179,upata,8.0086,-62.3989,25.66,60,88,3.86,VE,1675546870
180,hailar,49.2,119.7,-31.98,100,79,1.25,CN,1675546871
